title,audio_only,genre,video_duration,trailer_duration,trailer_title,url,iframe
THE FIRST SLAM DUNK,FALSE,anime,2:04:00,0:00:30,映画『THE FIRST SLAM DUNK』PV -THE FIRST-【絶賛上映中】,https://www.youtube.com/watch?v=IkNsD9sSYzU,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/IkNsD9sSYzU?si=uoi3ysUh3a8sRDGI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
爆弾,FALSE,mystery,2:00:00,0:00:17,【2025年―本物の衝撃、解禁】映画『爆弾』2025年公開！,https://www.youtube.com/watch?v=SsXKD5CNg6I,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/SsXKD5CNg6I?si=oz1OqiHrpdzUkpAa"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
セブン,FALSE,suspense,2:06:00,0:01:57,【IMAX初上映】映画『セブン』4K版予告 2025年1月31日（金）期間限定公開,https://www.youtube.com/watch?v=x_pXmwUbDYk,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/x_pXmwUbDYk?si=fWXOcYcl9WE22nyV"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
８番出口,FALSE,horror,1:50:00,0:01:30,【映画『８番出口』】全世界向け 映画化発表映像 ＜2025年公開＞,https://www.youtube.com/watch?v=05gfeo6Ipmg,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/05gfeo6Ipmg?si=DjUZAd93i1xj889H"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
不適切にもほどがある！,FALSE,comedy,0:45:00,0:00:33,『不適切にもほどがある！』第1話「頑張れって言っちゃダメですか？」 1/26(金)【TBS】,https://www.youtube.com/watch?v=0vzRbfLkX-c,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0vzRbfLkX-c?si=8JgZU8PRigHP6inr"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
ちいかわ,FALSE,anime,0:01:30,0:01:30,【公式】『ちいかわ』第1話「かためのプリン／ホットケーキ」,https://www.youtube.com/watch?v=pbQQAwSQUX4,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/pbQQAwSQUX4?si=II5haZZOXFpxNaLd"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
プリズン・ブレイク,FALSE,action,0:43:00,0:01:38,『プリズン・ブレイク シーズン1』予告編,https://www.youtube.com/watch?v=pr8QWmHZUh4,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/pr8QWmHZUh4?si=XJpSTtQUrsml4lt5"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
目の毒すぎる職場のふたり,FALSE,comedy,0:05:00,0:06:20,本編フル公開【目の毒すぎる職場のふたり】 同担大歓迎／トキメキ悶絶。推したちが尊すぎるのです。,https://www.youtube.com/watch?v=s0HmQoCPgIY,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/s0HmQoCPgIY?si=CbG5Y-yVBV47zg7w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
天久鷹央の推理カルテ,TRUE,anime,0:40:15,,【１日目】日刊 佐倉綾音～天才・天久鷹央になる100日間～｜TVアニメ「天久鷹央の推理カルテ」,https://youtu.be/uAoEixKE26E?si=AihG6HKBsa7Kl5pN,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/uAoEixKE26E?si=LTDj1-JMalfHaqHY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
40歳から本気で学ぶ英語リスニング,TRUE,education,0:14:33,,40歳から本気で学ぶ英語リスニング✨#毎朝英語ルーティン Day 487⭐️Week70⭐️500 Days English⭐️シャドーイング＆ディクテーション 英語聞き流し,https://youtu.be/AKJsEsVij14?si=w1RHhv6reFMVtFxl,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/AKJsEsVij14?si=w1RHhv6reFMVtFxl"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
